cpt_code,description,facility_rate
20934,Intercalary algrft compl,651.8808500000001
20937,Sp bone agrft morsel add-on,148.032675
20938,Sp bone agrft struct add-on,164.145075
20939,Bone marrow aspir bone grfg,61.76420000000001
20950,Mntr intrstitial fluid press,83.91875
20955,Fibula bone graft microvasc,2279.23325
20956,Iliac bone graft microvasc,2367.1801
20957,Mt bone graft microvasc,2468.5539500000004
20962,Other bone graft microvasc,2440.3572500000005
20969,Bone/skin graft microvasc,2333.948275
20970,Bone/skin graft iliac crest,2553.479725
20972,Bone/skin graft metatarsal,2544.4165000000003
20973,Bone/skin graft great toe,2683.721625
20974,Estim aid bone healg n-invas,51.022600000000004
20975,Estim aid bone healg invasiv,169.515875
20979,Lw ntsty us stimj bone healg,26.518325000000004
20982,Ablate bone tumor(s) perq,323.25502500000005
20983,Ablate bone tumor(s) perq,304.12155
20985,Cptr-asst dir ms px,124.535425
21010,Incision of jaw joint,676.0494500000001
21011,Exc face les sc <2 cm,251.420575
21012,Exc face les sbq 2 cm/>,325.60475
21013,Exc face tum deep < 2 cm,373.60627500000004
21014,Exc face tum deep 2 cm/>,482.70065000000005
21015,Resect face/scalp tum < 2 cm,642.817625
21016,Resect face/scalp tum 2 cm/>,905.9868250000001
21025,Excision of bone lower jaw,616.634975
21026,Excision of facial bone(s),415.56565000000006
21029,Contour of face bone lesion,574.0042500000001
21030,Excise max/zygoma b9 tumor,338.3604
21031,Remove exostosis mandible,254.44165
21032,Remove exostosis maxilla,245.378425
21034,Excise max/zygoma mal tumor,992.92665
21040,Excise mandible lesion,339.367425
21044,Removal of jaw bone lesion,768.69575
21045,Extensive jaw surgery,1066.4394750000001
21046,Remove mandible cyst complex,903.9727750000001
21047,Excise lwr jaw cyst w/repair,1081.880525
21048,Remove maxilla cyst complex,911.357625
